Elapsed time;/;/?SHOPPING_ID;/best-sellers;/buy-confirm;/buy?RETURNING_FLAG=N;/buy?RETURNING_FLAG=Y;/customer-registration?SHOPPING_ID=;/new-products;/order-inquiry;/product-detail;/search;/search?C_ID;/search?searchField=&keyword=&C_ID=;/shopping-cart?ADD_FLAG=N;/shopping-cart?I_ID=&QTY=1&ADD_FLAG=Y
19:16:37,500;10.0;5.0;134.0;;;;;9.333333333333334;;;4.0;3.0;3.0;19.0;
19:16:38,0;13.0;;;;;;;;;;;;4.0;;
19:16:38,500;12.0;4.0;137.0;;;;1.0;10.0;;8.0;3.0;3.5;4.0;;
19:16:39,0;12.5;;;;;;;;;;;;4.0;;
19:16:39,500;17.0;5.0;135.0;;;;0.0;10.0;;7.5;3.0;3.3333333333333335;3.5;;
19:16:40,0;16.0;;;;;;;;;8.0;3.0;;;;
19:16:40,500;10.0;4.0;145.0;;;;;10.0;;7.0;3.0;;3.0;;
19:16:41,0;29.0;;;;;;;;;;2.0;3.0;3.0;;
19:16:41,500;12.0;4.5;139.0;;3.0;;;11.0;;8.0;;4.0;;;
19:16:42,0;15.0;;137.0;;;;;;;;3.0;;4.0;;
19:16:42,500;12.0;;;;;;;10.0;1.0;7.5;3.6666666666666665;6.0;3.0;;
19:16:43,0;13.0;;;;;;;;1.0;;3.5;;;;
19:16:43,500;12.25;4.0;141.0;;;;;10.5;;7.5;;;4.0;;
19:16:44,0;16.0;;;;;;;;;7.5;3.0;4.0;;;
19:16:44,500;11.5;4.5;137.0;;;;;10.333333333333334;;;3.0;3.0;;;14.0
19:16:45,0;14.5;;;;;;;10.0;;;;4.0;;;
19:16:45,500;12.8;3.0;;;;2.0;;;;;3.0;3.6666666666666665;2.0;;
19:16:46,0;15.0;;;;;;;;;7.0;;3.0;;;
19:16:46,500;12.0;;151.33333333333334;;2.0;;;;;8.5;3.0;;3.5;21.0;
19:16:47,0;13.0;;137.0;;;;;;2.0;8.5;;;;;
19:16:47,500;13.0;4.0;;;;;;10.666666666666666;;9.0;3.0;4.0;4.0;;
19:16:48,0;13.0;;;;;;;;;;4.5;;3.0;;
19:16:48,500;11.333333333333334;4.0;147.0;;;;;;;8.0;3.0;;;;
19:16:49,0;13.666666666666666;;137.0;;;;;9.0;;8.0;;4.0;;;
19:16:49,500;12.0;6.0;;;;;;10.0;2.0;;;4.0;3.0;;
19:16:50,0;14.333333333333334;;;;;;;10.0;;8.0;;;4.0;;
19:16:50,500;11.666666666666666;;;;;;;11.0;1.0;6.0;;4.0;3.2;;13.0
19:16:51,0;14.0;;;;;;;;;8.5;3.0;;;;
19:16:51,500;12.5;5.5;;;;;;9.5;0.0;7.666666666666667;3.5;;4.0;;
19:16:52,0;13.0;;;;;;;;;;;3.0;;21.0;
19:16:52,500;14.0;;145.5;2.0;;;;12.0;;7.666666666666667;3.0;3.0;3.0;;
19:16:53,0;16.0;;142.0;;;;;;;;4.0;3.0;;;
19:16:53,500;11.333333333333334;4.0;141.0;2.0;;;;;;8.0;4.0;4.0;3.3333333333333335;;
19:16:54,0;14.0;;139.0;;;;;10.0;;;;3.0;3.5;;
19:16:54,500;11.25;4.5;;;;;;10.0;;;2.6666666666666665;3.0;4.0;21.0;
19:16:55,0;14.666666666666666;;;;;;;;;8.0;;4.0;;;
19:16:55,500;;;140.0;;;;;10.0;;8.75;3.0;3.0;4.0;;13.0
19:16:56,0;12.5;5.0;;;;;;10.0;;;;3.0;;;
19:16:56,500;11.666666666666666;;141.0;;;;;;;8.5;;3.0;3.0;;14.0
19:16:57,0;13.5;;;;;;;;;6.0;3.0;3.6666666666666665;3.0;;
19:16:57,500;12.0;;;;;;;10.0;1.0;8.5;4.0;3.0;3.0;;
19:16:58,0;13.0;;;;;;;;;9.0;;3.0;;;
19:16:58,500;12.0;4.0;157.5;;;;1.0;10.5;1.0;8.0;3.0;;3.0;22.0;
19:16:59,0;13.5;5.0;;;;;;;;;3.0;3.0;;;
19:16:59,500;16.0;;134.0;;;;;19.0;;8.0;3.0;3.0;;;
19:17:00,0;18.5;;137.0;;;;;10.0;;;;;3.0;;
19:17:00,500;13.666666666666666;;138.0;;2.0;;;10.0;1.0;8.0;4.0;3.0;;20.0;
19:17:01,0;16.0;;;;2.0;;;;;8.0;4.0;4.5;;;
19:17:01,500;15.0;7.0;137.0;;;;;10.0;;9.0;4.0;3.3333333333333335;3.0;;12.0
19:17:02,0;13.5;;;;;;;10.0;;;;3.0;;;
19:17:02,500;12.5;4.0;137.0;;2.0;;;10.0;3.0;8.5;;3.3333333333333335;3.0;;12.0
19:17:03,0;14.0;;;;1.0;;;11.0;;;;4.0;3.0;;
19:17:03,500;13.0;;138.0;;2.0;;;10.333333333333334;;7.666666666666667;4.0;3.0;2.5;;
19:17:04,0;12.5;;;;;;;;2.0;7.0;3.0;4.0;;;
19:17:04,500;11.333333333333334;;137.0;;;;;;1.0;8.0;3.5;3.0;3.0;;
19:17:05,0;13.333333333333334;;135.0;;;;;;;;2.0;;;;
19:17:05,500;11.5;4.5;136.0;;2.0;;;14.0;1.0;8.0;3.5;4.0;;19.0;
19:17:06,0;15.0;5.0;;;;;;;1.0;;;;;;
19:17:06,500;10.0;4.0;164.0;;1.0;;;12.5;;8.0;3.0;;4.0;20.0;
19:17:07,0;12.333333333333334;;;;;;;;;8.0;4.0;3.0;;;
19:17:07,500;;4.5;;;;;;10.0;;8.6;;4.0;3.0;;12.0
19:17:08,0;15.0;;135.0;;;;;10.5;;;;;3.0;;
19:17:08,500;15.666666666666666;;155.5;;;;;;;8.666666666666666;6.0;4.0;3.6666666666666665;;
19:17:09,0;12.5;;;;;;;;;9.0;;;;19.0;
19:17:09,500;11.0;4.666666666666667;148.66666666666666;;;;;10.5;;8.0;;4.0;3.5;19.0;
19:17:10,0;15.0;;;;;;;;;;4.0;3.5;;;
19:17:10,500;11.5;3.0;154.66666666666666;;;;;10.333333333333334;;9.0;2.5;;3.3333333333333335;19.0;
19:17:11,0;13.5;;139.0;;;;;10.0;;;3.0;;3.5;;
19:17:11,500;12.0;4.0;142.5;;;;;10.0;;8.0;3.0;3.0;2.0;;
19:17:12,0;12.0;;144.0;;;;;10.0;;;3.0;;3.0;;
19:17:12,500;16.5;4.0;172.0;2.0;;;;;;7.5;2.5;3.5;3.0;;
19:17:13,0;16.5;;199.0;;;;;;;;;4.0;4.0;;
19:17:13,500;11.333333333333334;4.5;;;1.0;;;10.0;;9.0;3.0;3.3333333333333335;;;14.0
19:17:14,0;15.0;;;;;;;10.0;;;4.0;3.0;;;
19:17:14,500;13.25;;146.0;;;;;8.0;;7.166666666666667;;;3.0;20.0;
19:17:15,0;18.0;;;;;;;9.0;;;;4.0;3.0;;12.0
19:17:15,500;11.0;3.6666666666666665;;;;;2.0;9.8;;7.0;4.0;2.0;2.5;;
19:17:16,0;15.0;;;;;;;;;;4.0;;;;13.0
19:17:16,500;10.5;4.0;138.0;;;;;9.0;;8.0;2.6666666666666665;;3.0;;12.0
19:17:17,0;12.333333333333334;;137.0;;;;;11.0;;;;;3.0;19.0;
19:17:17,500;11.0;4.0;138.0;;;;;;;8.0;4.0;3.0;3.0;;
19:17:18,0;12.666666666666666;;;;;;;9.0;;7.0;3.0;;;;
19:17:18,500;12.0;5.0;;;;;;9.0;;8.0;;3.0;;;12.0
19:17:19,0;12.5;;146.5;;;;;;;6.0;3.0;;4.0;;
19:17:19,500;10.5;;144.0;;;;;;;7.666666666666667;3.0;3.0;3.0;;
19:17:20,0;17.0;5.0;;;;;;10.0;;10.0;;;;;
19:17:20,500;10.0;3.0;155.0;;;;;10.0;;8.285714285714286;;3.5;3.0;;
19:17:21,0;12.0;;139.0;;;;;;;;3.0;;;;
19:17:21,500;11.333333333333334;4.0;141.0;;;;;;;7.4;3.0;4.0;4.0;;
19:17:22,0;14.0;;;;1.0;;;9.5;;;2.0;;;;
